city,customer_type,gender,product_line,unit_price,quantity,tax_5%,total_price,date,payment_method,cost_of_goods_sold,gross_income,rating
Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,1/5/2019,Ewallet,522.83,26.1415,9.1
Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,3/8/2019,Cash,76.4,3.82,9.6
Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,3/3/2019,Credit card,324.31,16.2155,7.4
Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,1/27/2019,Ewallet,465.76,23.288,8.4
Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,2/8/2019,Ewallet,604.17,30.2085,5.3
Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,3/25/2019,Ewallet,597.73,29.8865,4.1
Yangon,Member,Female,Electronic accessories,68.84,6,20.651999999999997,433.69199999999995,2/25/2019,Ewallet,413.04,20.651999999999997,5.8
Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2/24/2019,Ewallet,735.6,36.78,8.0
Yangon,Member,Female,Health and beauty,36.26,2,3.6260000000000003,76.146,1/10/2019,Credit card,72.52,3.6260000000000003,7.2
Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.74599999999998,2/20/2019,Credit card,164.52,8.226,5.9
Mandalay,Member,Female,Fashion accessories,14.48,4,2.8960000000000004,60.816,2/6/2019,Ewallet,57.92,2.8960000000000004,4.5
Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.14200000000001,3/9/2019,Cash,102.04,5.102,6.8
Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,2/12/2019,Ewallet,234.75,11.7375,7.1
Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2/7/2019,Ewallet,431.9,21.595,8.2
Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,3/29/2019,Cash,713.8,35.69,5.7
Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,1/15/2019,Cash,562.32,28.116,4.5
Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,3/11/2019,Credit card,482.51,24.1255,4.6
Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.44300000000004,1/1/2019,Credit card,435.66,21.783,6.9
Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,1/21/2019,Credit card,164.01,8.2005,8.6
Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,3/11/2019,Ewallet,80.6,4.03,4.4
Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2/25/2019,Ewallet,430.2,21.51,4.8
Mandalay,Normal,Male,Health and beauty,87.98,3,13.197000000000001,277.137,3/5/2019,Ewallet,263.94,13.197000000000001,5.1
Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,3/15/2019,Credit card,66.4,3.32,4.4
Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2/17/2019,Ewallet,172.8,8.64,9.9
Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,3/2/2019,Ewallet,265.89,13.2945,6.0
Yangon,Member,Female,Home and lifestyle,52.59,8,21.035999999999998,441.756,3/22/2019,Credit card,420.72,21.035999999999998,8.5
Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,2/8/2019,Cash,33.52,1.676,6.7
Yangon,Normal,Female,Fashion accessories,87.67,2,8.767000000000001,184.107,3/10/2019,Credit card,175.34,8.767000000000001,7.7
Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,1/25/2019,Cash,441.8,22.09,9.6
Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,3/15/2019,Cash,224.01,11.2005,7.4
Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,2/25/2019,Credit card,470.65,23.5325,4.8
Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,1/28/2019,Cash,702.63,35.1315,4.5
Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.752,1/10/2019,Cash,670.24,33.512,5.1
Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.81799999999998,3/15/2019,Credit card,193.16,9.658,5.1
Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.564,2/6/2019,Ewallet,397.68,19.884,7.5
